year,static_share,dynamic_share,linear_share,country,static_change,dynamic_change,divergence,linear_change
2032,0.14727711194029486,0.2072134646334431,0.1821722796623071,Estonia,0.00032206982398247375,0.00877777137849467,0.05993635269314823,0.0064864525824326336
2033,0.14759918176427733,0.21511971412512063,0.18865873224473972,Estonia,0.00032206982398247375,0.007906249491677536,0.0675205323608433,0.0064864525824326336
2034,0.1479212515882598,0.22313886116338547,0.19514518482717058,Estonia,0.00032206982398247375,0.00801914703826484,0.07521760957512566,0.006486452582430857
2035,0.14824332141224228,0.23217522436418478,0.20163163740960321,Estonia,0.00032206982398247375,0.009036363200799313,0.0839319029519425,0.0064864525824326336
2022,0.3588645997838916,0.3588645997838916,0.31257645709480997,Finland,,,0.0,
2023,0.36944259164420573,0.36944259164420573,0.3207158319512722,Finland,0.010577991860314107,0.010577991860314107,0.0,0.008139374856462211
2024,0.38002058350451984,0.3805252971278666,0.32885520680773084,Finland,0.010577991860314107,0.01108270548366086,0.0005047136233467531,0.008139374856458659
2025,0.39059857536483394,0.39310329669717614,0.3369945816641895,Finland,0.010577991860314107,0.01257799956930955,0.002504721332342197,0.008139374856458659
2026,0.40117656722514805,0.4060566444968354,0.3451339565206517,Finland,0.010577991860314107,0.012953347799659232,0.004880077271687322,0.008139374856462211
2027,0.41175455908546216,0.4193017246338139,0.35327333137711037,Finland,0.010577991860314107,0.013245080136978504,0.00754716554835172,0.008139374856458659
2028,0.42233255094577626,0.4320041798730685,0.3614127062335726,Finland,0.010577991860314107,0.012702455239254618,0.00967162892729223,0.008139374856462211
2029,0.43291054280609037,0.4455649977644441,0.36955208109003124,Finland,0.010577991860314107,0.013560817891375587,0.012654454958353711,0.008139374856458659
2030,0.4434885346664045,0.4573674047577271,0.3776914559464899,Finland,0.010577991860314107,0.011802406993282999,0.013878870091322604,0.008139374856458659
2031,0.4540665265267186,0.4685128918882395,0.3858308308029521,Finland,0.010577991860314107,0.011145487130512444,0.01444636536152094,0.008139374856462211
2032,0.4646445183870327,0.47965837901875197,0.39397020565941077,Finland,0.010577991860314107,0.011145487130512444,0.015013860631719278,0.008139374856458659
2033,0.4752225102473468,0.49047720166019204,0.4021095805158694,Finland,0.010577991860314107,0.010818822641440073,0.015254691412845245,0.008139374856458659
2034,0.4858005021076609,0.5015559717951432,0.41024895537233164,Finland,0.010577991860314107,0.011078770134951177,0.015755469687482315,0.008139374856462211
2035,0.496378493967975,0.5126202926022693,0.4183883302287903,Finland,0.010577991860314107,0.011064320807126049,0.016241798634294258,0.008139374856458659
2022,0.23274156738805954,0.23274156738805954,0.20014413685285248,France,,,0.0,
2023,0.24410417606257992,0.24410417606257992,0.2046358884294488,France,0.01136260867452038,0.01136260867452038,0.0,0.0044917515765963145
2024,0.2554667847371003,0.25665571628291073,0.2091276400060451,France,0.011362608674520408,0.012551540220330809,0.001188931545810401,0.0044917515765963145
2025,0.2668293934116207,0.26621463350975416,0.21361939158264143,France,0.01136260867452038,0.009558917226843433,-0.0006147599018665462,0.0044917515765963145
2026,0.2781920020861411,0.2755887967284977,0.21811114315923774,France,0.01136260867452038,0.009374163218743514,-0.002603205357643412,0.0044917515765963145
2027,0.28955461076066147,0.2864652387183917,0.22260289473583406,France,0.01136260867452038,0.010876441989894015,-0.003089372042269778,0.0044917515765963145
2028,0.30091721943518185,0.29950019498110164,0.22709464631243037,France,0.01136260867452038,0.013034956262709951,-0.0014170244540802068,0.0044917515765963145
2029,0.31227982810970223,0.31642800046371267,0.23158639788902668,France,0.01136260867452038,0.016927805482611025,0.004148172354010438,0.0044917515765963145
2030,0.3236424367842226,0.3337927186076113,0.236078149465623,France,0.01136260867452038,0.017364718143898616,0.010150281823388674,0.0044917515765963145
2031,0.335005045458743,0.35051805548975423,0.24056990104221931,France,0.01136260867452038,0.01672533688214295,0.015513010031011243,0.0044917515765963145
2032,0.34636765413326337,0.3677377692892629,0.24506165261881563,France,0.01136260867452038,0.01721971379950865,0.021370115155999514,0.0044917515765963145
2033,0.35773026280778375,0.3856740732726393,0.24955340419541194,France,0.01136260867452038,0.017936303983376423,0.027943810464855556,0.0044917515765963145
2034,0.36909287148230413,0.3946459213494366,0.25404515577200826,France,0.01136260867452038,0.008971848076797295,0.02555304986713247,0.0044917515765963145
2035,0.3804554801568245,0.40335255571525863,0.25853690734860457,France,0.01136260867452038,0.00870663436582203,0.02289707555843412,0.0044917515765963145
2022,0.3620698887121318,0.3620698887121318,0.3254436085380732,Germany,,,0.0,
2023,0.3929405941884269,0.3929405941884269,0.3392002720402978,Germany,0.030870705476295113,0.030870705476295113,0.0,0.013756663502224598
2024,0.42381129966472203,0.4239143179732891,0.35295693554252594,Germany,0.030870705476295113,0.030973723784862184,0.00010301830856707106,0.01375666350222815
2025,0.45468200514101714,0.45480807569177784,0.36671359904475054,Germany,0.030870705476295113,0.030893757718488735,0.00012607055076069296,0.013756663502224598
2026,0.48555271061731226,0.4852384322347098,0.3804702625469787,Germany,0.030870705476295113,0.03043035654293197,-0.0003142783826024509,0.01375666350222815
2027,0.5164234160936074,0.5148798235142894,0.3942269260492033,Germany,0.030870705476295168,0.0296413912795796,-0.0015435925793180205,0.013756663502224598
2028,0.5472941215699025,0.5448145446463163,0.4079835895514279,Germany,0.030870705476295113,0.029934721132026887,-0.0024795769235862464,0.013756663502224598
2029,0.5781648270461976,0.5745859218646023,0.42174025305365603,Germany,0.030870705476295113,0.029771377218286044,-0.0035789051815953155,0.01375666350222815
2030,0.6090355325224928,0.6041495262268587,0.43549691655588063,Germany,0.030870705476295113,0.029563604362256357,-0.004886006295634071,0.013756663502224598
2031,0.6399062379987879,0.6352497010210584,0.44925358005810523,Germany,0.030870705476295113,0.031100174794199686,-0.004656536977729497,0.013756663502224598
2032,0.670776943475083,0.6671655320872825,0.4630102435603334,Germany,0.030870705476295113,0.03191583106622409,-0.0036114113878005227,0.01375666350222815
2033,0.7016476489513781,0.6980034691682464,0.476766907062558,Germany,0.030870705476295113,0.03083793708096394,-0.0036441797831316958,0.013756663502224598
2034,0.7325183544276732,0.7288414062492103,0.4905235705647826,Germany,0.030870705476295113,0.03083793708096394,-0.003676948178462869,0.013756663502224598
2035,0.7633890599039683,0.7593132066672155,0.5042802340670107,Germany,0.030870705476295113,0.030471800418005124,-0.004075853236752858,0.01375666350222815
2022,0.418125545892986,0.418125545892986,0.35650381128452224,Greece,,,0.0,
2023,0.42763916269501184,0.42763916269501184,0.3711088545685719,Greece,0.009513616802025837,0.009513616802025837,0.0,0.014605043284049657
2024,0.4371527794970377,0.4458502525921888,0.38571389785262156,Greece,0.009513616802025837,0.018211089897176957,0.00869747309515112,0.014605043284049657
2025,0.4466663962990635,0.46448836464076976,0.4003189411366712,Greece,0.009513616802025837,0.018638112048580957,0.01782196834170624,0.014605043284049657
2026,0.45618001310108935,0.4804712234506815,0.41492398442072087,Greece,0.009513616802025837,0.015982858809911737,0.02429121034959214,0.014605043284049657
2027,0.4656936299031152,0.4925447779486346,0.429529027704767,Greece,0.009513616802025837,0.01207355449795311,0.026851148045519413,0.014605043284046104
2028,0.47520724670514103,0.5034054747458487,0.44413407098881663,Greece,0.009513616802025837,0.010860696797214131,0.028198228040707707,0.014605043284049657
2029,0.48472086350716687,0.5182933456043106,0.4587391142728663,Greece,0.009513616802025837,0.014887870858461882,0.03357248209714375,0.014605043284049657
2030,0.4942344803091927,0.534271989758076,0.47334415755691595,Greece,0.009513616802025837,0.015978644153765376,0.04003750944888329,0.014605043284049657
2031,0.5037480971112186,0.5499017608025121,0.4879492008409656,Greece,0.009513616802025893,0.01562977104443608,0.04615366369129348,0.014605043284049657
